"ID","COMMUNE","Zone","EMP","Coordonnées GPS","Nom emp fr","Nom de l'emplacement","CT","CB","CS","Caisson","VIDANGE CT","IT B 1","IT B 2","IT B 3","IT CS 1","IT CS 2","IT CS 3"
"182","","SEBKHA","SEB-6","N 18°04.1775' W 015°59.6878'","Stade Elbasra","ملعب البصرة","","","2","CS (2)","","","","","27","",""
"183","SEBKHA","SEBKHA","SEB-7","N 18°04.5052' W 015°59.9111'","Lycee Sebkha","ثانوية السبخة","","1","","CB ","","35","","","","",""
"184","SEBKHA","SEBKHA","SEB-8","N 18°04.8481' W 015°59.4735'","Mosquee Tewba","جامع التوبة السبخة","","1","","CB","","13","","","","",""
"185","","SEBKHA","SEB-9","N 18°04.7137' W 015°58.9878'","Carrefour Marche Poulet","كرفور سوق الدجاج","","","3","CS (3)","","","","","","11",""
"186","SEBKHA","SEBKHA","SEB-10","N 18°04.5119' W 015°59.1614'","Park ecole Mansour","ساحة قبيل مدرسة المنصور","","1","","CB","","39","","","","",""
"187","SEBKHA","SEBKHA","SEB-11","N 18°04.4575' W 015°59.6636'","Park marche Tiebtabe","ساحة قبيل سوق إشبشابة","","2","","CB (2)","","37","","","","",""
"188","","SEBKHA","SEB-12","N 18°04.2981' W 015°59.4994'","Marche N'diagou","ساحة قبيل سوق انجاكو","","","2","CS (2)","","","","","25","",""
"189","SEBKHA","SEBKHA","SEB-13","N 18°04.5809' W 015°59.7605'","Gaza Telecome","غزة تلكوم تلكوم السبخة","","1","","CB ","","15","","","","",""
"190","SEBKHA","SEBKHA","SEB-14","N 18°04.6391' W 015°59.9678'","Marche Saade","سوق السعادة السبخة","","1","","CB ","","7","","","","",""
"191","SEBKHA","SEBKHA","SEB-15","N 18°04.4959' W 015°59.4348'","Clinique 5éme","طب سينكيم","","2","","CB (2)","","41","","","","",""
"192","SEBKHA","SEBKHA","SEB-16","N 18°04.9427' W 015°59.4732'","Zone militaire","القطاع العسكري(السبخة)","","1","","CB ","","5","","","","",""
"193","SEBKHA","SEBKHA","SEB-17","N 18°04.7827' W 016°00.2471'","Carrefour Guidimagua","كرفور كيدي ماغا","","1","","CB ","","27","","","","",""
"194","SEBKHA","SEBKHA","SEB-18","N 18°04.3827' W 016°00.1143'","Carrefour K C","كرفور ك س","","1","","CB ","","23","","","","",""
"195","SEBKHA","SEBKHA","SEB-19","N 18°04.0020' W 015°59.8495'","Carrefour Bonne Sante","صيدلية الصحة الجديدة","","1","","CB ","","25","","","","",""
"196","SEBKHA","SEBKHA","SEB-20","N 18°04.9169' W 016°00.0178'","Mosquee Ehl Enahwi","مسجد اهل انحوى","","1","","CB","","9","","","","",""
"197","SEBKHA","SEBKHA","SEB-21","N 18°04.6176' W 016°00.2851'","Garage Abou","كراج آبو","","1","","CB","","21","","","","",""
"198","SEBKHA","SEBKHA","SEB-22","N 18°04.6064' W 015°59.7060'","Garage Senegal","كراج سنغال","","1","","CB","","17","","","","",""
"199","SEBKHA","SEBKHA","SEB-23","N 18°04.9191' W 015°59.8677'","Hopital Dia","طب جاه","","1","","CB","","11","","","","",""
"200","SEBKHA","SEBKHA","SEB-24","N 18°04.5930' W 015°59.3149'","Pharmacie El Marwa","صيدلية المروة (السبخة)","","1","","CB","","19","","","","",""
"201","SEBKHA","SEBKHA","SEB-25","N 18°04.5426' W 015°59.0871'","Robinet Sonimex","ربينة سنمكس","","1","","CB","","1","","","","",""
"202","SEBKHA","SEBKHA","SEB-26","N 18°04.9317' W 015°59.3717'","Mosquee El Ansar","مسجد الأنصار","","1","","CB","","3","","","","",""
