"ID","COMMUNE","Zone","EMP","Coordonnées GPS","Nom emp fr","Nom de l'emplacement","CT","CB","CS","Caisson","VIDANGE CT","IT B 1","IT B 2","IT B 3","IT CS 1","IT CS 2","IT CS 3"
"58","TZ","TVZ 2","TZ2-19","N 18°08.8240' W 015°59.6801'","Hopital Cardiologie 2","طب القلب 2","","1","","CB","","","60","","","",""
"59","TZ","TVZ 2","TZ2-20","N 18°07.2567' W 015°58.7543'","Filman","فيلمان","","1","","CB","","","15","","","",""
"60","TZ","TVZ 2","TZ2-21","N 18°06.2896' W 015°59.5460'","En face de l'ambassade de L'arabie Saoudite","قبالة سفارة السعوديه","2","","","CT (2)","TZ2-31","","","","","",""
"61","TZ","TVZ 2","TZ2-22","N 18°06.2274' W 015°58.7212'","Carrefour Citesmare","كارافور سيتسمار","","1","","CB","","","34","","","",""
"62","TZ","TVZ 2","TZ2-23","N 18°06.4930 W 015 58 6637","Restaurant Fantasia","مطعم الفنتازيا","1","","","CT","TZ2-31","","","","","",""
"63","TZ","TVZ 2","TZ2-24","N 18°06.9575 W 015 58 4679","Centre El Mahara (Carrefour SNDE)","مركز المهارة (Car/SNDE)","","1","","CB","","","19","","","",""
"64","TZ","TVZ 2","TZ2-25","N 18° 06.7810 W 015 59 0811","Derriere le Palais des congres","خلف قصر المئتمرات","","3","","CB*3","","","24","","","",""
"65","TZ","TVZ 2","TZ2-26","N 18°07.2657 W  015. 587261","Boutique Karou","بتيك كرو ","","1","","CB","","","47","","","",""
"66","TZ","TVZ 2","TZ2-27","N 18°07. 4398 W 015 58 6741","Depot Fourriere ","دبو محشر أمن الطرق ","","1","","CB","","","17","","","",""
"67","TZ","TVZ 2","TZ2-28","N 18°07.8668 W 015 59 9344","Depot Ould Oumein","دبو ولد عمين","","1","","CB","","","32","","","",""
"68","TZ","TVZ 2","TZ2-29","N 18°09.6676 W 016 00 5989","Carrefour El Berad","كرفور البراد ","","1","","CB","","","64","","","",""
"69","TZ","TVZ 2","TZ2-30","N 18°06.9254 W 015 59 9781","Depot Dar Karou","نقطة دار كرو ","","2","","CB*2","","","44","","","",""
"70","TZ","TVZ 2","TZ2-31","N 18° 06.1570 W 015 59 8392","Point residence Sahra","نقطة نزل السحراء","1","","","CT","TZ2-31","","","","","",""
"71","TZ","TVZ 2","TZ2-32","N 18° 06.2461 W 015 59 8086","Chinguitty Lavage","نقطة شنقيط للغسيل","1","","","CT","TZ2-35","","","","","",""
"72","TZ","TVZ 2","TZ2-33","N 18°07.5608' W 016°00.1340'","Carrefour 400(Route NDB)","كرفور 400 طريق نواذيبو","","1","","CB ","","","48","","","",""
"73","TZ","TVZ 2","TZ2-34","N 18°08.3511' W 016°00.3441'","Carrefour Hopital Cardiologie","كرفور طب القلب ","","1","","CB","","","62","","","",""
"74","TZ","TVZ 2","TZ2-35","N 18°06.0613' W 015°59.5534'","Ecole Ibn Sina","مدرسة إبن سينا","","1","","CB ","","","40","","","",""
"75","TZ","TVZ 2","TZ2-36","N 18°06.5778' W 015°58.5897'","Mosquee Essounne","مسجد السنة","","1","","CB","","","30","","","",""
"76","TZ","TVZ 2","TZ2-38","N 18°06.4948' W 015°59.6961'","Khadjettou","خديجة","","2","","CB *2","","","9","","","",""
"77","TZ","TVZ 3","TZ3-1","N 18°06.9265' W 016°00.0305'","Hamam Nil","دبو قبالة حمام النيل","","1","","CB","","","","57","","",""
"78","TZ","TVZ 3","TZ3-2","N 18°06.3011' W 015°59.9087'","Depot Elmechtele","دبو المشتله","","1","","CB","","","","64","","",""
"79","TZ","TVZ 3","TZ3-3","N 18°06.3838' W 016°00.0167'","Depot Big Market","دبو بيك ماركت","","1","","CB","","","","63","","",""
"80","TZ","TVZ 3","TZ3-4","N 18°06.9034' W 016°00.1245'","Depot Michelin","دبو مشلاه","2","","","CT (2)","TZ3-12","","","","","",""
"81","TZ","TVZ 3","TZ3-5","N 18°05.9514' W 015°59.8768'","Carrefour El Ghouds","كرفور القدس","","1","","CB","","","","67","","",""
"82","TZ","TVZ 3","TZ3-6","N 18°06.3072' W 016°00.0065'","Complexe Ecole Moderne","مجمع المدارس العصريه الحرة","","1","","CB","","","","65","","",""
"83","TZ","TVZ 3","TZ3-7","N 18°06.4569' W 015°59.9898'","Depot Patiserie","دبو المخبزة","","1","","CB","","","","62","","",""
"84","TZ","TVZ 3","TZ3-8","N 18°05.4160' W 016°00.4862'","Depot station Haydro","دبو استاسيوه هايدرو","","1","","CB ","","","","60","","",""
"85","TZ","TVZ 3","TZ3-9","N 18°06.2793' W 016°00.6589'","Depot le anguard","دبو العنكار","","1","","CB ","","","","80","","",""
"86","TZ","TVZ 3","TZ3-10","N 18°06.2842' W 016°01.0048'","Depot a cote du Cable maritime","دبو غرب الكابل البحرى","","1","","CB","","","","79","","",""
"87","TZ","TVZ 3","TZ3-11","N 18°05.9911' W 016°00.0311'","Park Guedj","ساحة كج","","1","","CB","","","","76","","",""
"88","TZ","TVZ 3","TZ3-12","N 18°05.7445' W 016°00.9538'","Feu Rouge","إشارة المرور","","1","","CB","","","","75","","",""
"89","TZ","TVZ 3","TZ3-13","N 18°06.2353' W 016°00.5606'","Depot Brick Ramble","دب ابريك رامبلة","","2","","CB (2)","","","","81","","",""
"90","TZ","TVZ 3","TZ3-14","N 18°05.5309' W 016°00.5885'","Depot la mosquee","دب المسجد رامبلة","","","2","CS (2)","","","","","5","",""
"91","TZ","TVZ 3","TZ3-15","N 18°05.4160' W 016°00.4862'","Depot Nakhil","دب الحفرة قبالة سمعة النخيل","","1","","CB","","","","74","","",""
"92","TZ","TVZ 3","TZ3-18","N 18°05.2128' W 015°59.8144'","Ramble le lac","رامبله البحيره","","1","","CB","","","","72","","",""
"93","TZ","TVZ 3","TZ3-19","N 18°05.3063' W 015°59.8960'","Residence de l'ambassadeur chinois","اقامة السفير الصيني","","1","","CB","","","","71","","",""
"94","TZ","TVZ 3","TZ3-20","N 18°05.2128' W 015°59.8144'","Rotana","روتانا","","1","","CB","","","","70","","",""
"95","TZ","TVZ 3","TZ3-21","N 18°05.8706' W 015°59.9795'","Ouest Carrefour El Ghouds","غرب كرفور القدس","","1","","CB","","","","68","","",""
"96","TZ","TVZ 3","TZ3-22","N 18°05.9911' W 016°00.0311'","Park Socogim carrefour El Ghouds","ساحة سوكجيم كرفور القدس","","","3","CS (3)","","","","","1","",""
"97","TZ","TVZ 3","TZ3-23","N 18°06.2038' W 015°59.9493'","City Sport route Emira","ست سبور طريق اميرة زيتي","","1","","CB","","","","66","","",""
"98","TZ","TVZ 3","TZ3-24","N 18°06.2513' W 016°01.2668'","Depot Ehl Ghadde","دبو أهل قده ","","1","","CB","","","","77","","",""
"99","TZ","TVZ 3","TZ3-25","N 18°06.4153' W 016°00.2532'","Appartement Twaleg","ابرتماه اتوالك","","1","","CB","","","","61","","",""
"100","TZ","TVZ 3","TZ3-26","N 18°06.5938' W 016°00.3138'","Depot brick fouriere 1","دبو ابريك افرير1","1","","","CT","TZ3-8","","","","","",""
"101","TZ","TVZ 3","TZ3-27","N 18°06.0718' W 015°59.8694'","Pharmacie Elvewz","قبالة صيدلية الفوز","2","","","CT (2)","TZ3-5","","","","","",""
"102","TZ","TVZ 3","TZ3-28","N 18°06.7723' W 016°00.0935'","Depot maison Feil Lahah","دبو دار افيل اللهاه","1","","","CT","TZ3-38","","","","","",""
"103","TZ","TVZ 3","TZ3-30","N 18°05.7090' W 016°00.3231'","Depot antenne le nouveau goudron ","دبو آنتن كدروه الجديد","","1","","CB","","","","73","","",""
"104","TZ","TVZ 3","TZ3-31","N 18°06.8056' W 016°00.0554'","Depot antenne route Feil","دبو آنتن شارع افيل","","1","","CB","","","","59","","",""
"105","TZ","TVZ 3","TZ3-32","N 18°06.2038' W 015°59.9493'","Ambassade Iran","سفارة إيران","1","","","CT","TZ3-22","","","","","",""
"106","TZ","TVZ 3","TZ3-33","N 18°05.8278' W 015°59.8153'","El Maariv ","المعارف التركية","1","","","CT","TZ3-21","","","","","",""
"107","TZ","TVZ 3","TZ3-34","N 18°05.0783' W 015°59.9517'","Total","توتال","1","","","CT","TZ3-25","","","","","",""
"108","TZ","TVZ 3","TZ3-35","N 18°05.1584' W 016°00.1124'","Depot CSA","دبو CSA","","","2","CS (2)","","","","","3","",""
"109","TZ","TVZ 2","TZ2-42","N 18°06.2918' W 015°59.6943'","CENI","اللجنة المستقلة للانتخابات","","1","","CB","","","38","","","",""
"110","TZ","TVZ 2","TZ2-43","N 18°06.2463' W 015°59.8259'","Centrale Food","سانترال فود","","1","","CB","","","42","","","",""
"111","TZ","TVZ 2","TZ2-45","N 18°06.9231' W 015°58.7868'","DEPOT GAZOUANI","دبو الغزوانى","","1","","CB","","","22","","","",""
"112","TZ","TVZ 2","TZ2-46","N 18°06.7290' W 015°59.4250'","Ministere des affaires etrangeres","وزارة الخارجية","","1","","CB ","","","6","","","",""
"113","TZ","TVZ 2","TZ2-47","N 18°06.6564' W 015°59.4475'","Pharmacie El Kenedy","صيدلية الكندي","","1","","CB","","","5","","","",""
"114","TZ","TVZ 2","TZ2-48","N 18°06.5118' W 015°59.6112'","CHARLOTTES","شرلوت","","1","","CB","","","7","","","",""
"115","TZ","TVZ 2","TZ2-50","N 18°06.4948' W 015°59.6961'","Savana Cafe","مطعم سافانا","","1","","CB","","","26","","","",""
"116","TZ","TVZ 2","TZ2-51","N 18°06.4482' W 015°58.9401'","Restaurant Palacio","مطعم بالاسيو","","1","","CB","","","28","","","",""
"117","TZ","TVZ 1","TZ1-43","N 18°06.0854' W 015°58.5258'","","مطعم طازج","1","","","CT","TZ1-20","","","","","",""
"118","TZ","TVZ 1","TZ1-44","N 18°05.7145' W 015°58.5792'","","كرفور ولد داداه","1","","","CT","TZ1-20","","","","","",""
"119","TZ","TVZ 1","TZ1-45","N 18°05.3680' W 015°58.9760'","","بلدية تفرغ زينة","1","","","CT","TZ1-2","","","","","",""
"120","TZ","TVZ 1","TZ1-46","N 18°05.2095' W 015°58.2476'","POLICE CENTRALE CT (2)","الشرطة المركزية","1","","","CT","TZ1-9","","","","","",""
"121","TZ","TVZ 1","TZ1-47","N 18°06.1088' W 015°58.6997'","","شارع سفارة الإمارات","3","","","CT (3)","TZ1-10","","","","","",""
"122","TZ","TVZ 1","TZ1-48","N 18°06.2232' W 015°58.8815'","","فندق آتلانتيك","1","","","CT","TZ1-10","","","","","",""
"123","TZ","TVZ 1","TZ1-49","N 18°05.3624' W 015°58.7543'","","عالي بابا","1","","","CT","TZ1-34","","","","","",""
"124","TZ","TVZ 1","TZ1-50","N 18°05.2604' W 015°59.5506'","","28نوفمبر للنقل","","1","","CB","","21","","","","",""
"125","TZ","TVZ 3","TZ3-36","N 18°07.2402' W 016°00.1338'","Magasin Abdel Vetah (Tijirit)","مخزن عبد الفتاح (تجريت)","","1","","CB","","","","56","","",""
"126","TZ","TVZ 3","TZ3-37","N 18°07.2980' W 016°00.2966'","Depot Ahmed Abbe","دبو أحمد آب","","1","","CB","","","","55","","",""
"127","TZ","TVZ 3","TZ3-38","N 18°06.2729' W 016°00.0949'","Contenaire El Hamrae","كنتنير الحمراء","","1","","CB","","","","58","","",""
"128","TZ","TVZ 3","TZ3-39","N 18°06.2729' W 016°00.0949'","Depot Park Pompiers","دبو وسعية بومبيه","","1","","CB","","","","82","","",""
"129","TZ","TVZ 3","TZ3-40","N 18°06.2933' W 016°01.2591'","Depot les pirogues","دبو الفالوكات","","1","","CB","","","","78","","",""
"130","TZ","TVZ 3","TZ3-41","N 18°06.3400' W 016°00.2822'","Depot Contenaire Ould Evelwat","دبو كونتنيرات ولد افلواط","","1","","CB","","","","83","","",""
